,ping,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,throttle,steer,handbrake,rot_x,rot_y,rot_z,ball_cam,boost,boost_active,jump_active,dodge_active,double_jump_active
2459,10.0,-4078.02001953125,2991.929931640625,208.52999877929688,-3328.9999389648438,12644.89990234375,13459.89990234375,1123.0999755859375,5378.800048828125,-238.09999465942383,255.0,253.0,,-0.8598853361772756,1.7931871658820977,1.2882310866911952,True,164.0,False,18,18,False
2460,10.0,-4083.7900390625,3070.64990234375,302.8599853515625,256.9000053405762,11121.700439453125,14488.499755859375,1739.7999572753906,1561.9999694824219,680.1999664306641,255.0,254.0,True,-0.9780292733634357,1.5497368828894378,1.6208058493999924,True,164.0,False,18,18,False
2461,10.0,-4083.7900390625,3070.64990234375,302.8599853515625,256.9000053405762,11121.700439453125,14488.499755859375,1739.7999572753906,1561.9999694824219,680.1999664306641,255.0,254.0,True,-0.9780292733634357,1.5497368828894378,1.6208058493999924,True,164.0,False,18,18,False
2462,10.0,-4080.030029296875,3153.360107421875,426.3399963378906,261.9000053405762,8962.7001953125,15002.60009765625,2473.0999755859375,-317.39999771118164,-204.89999771118164,255.0,254.0,True,-1.1581368150539602,1.5629018900586014,1.5994017610079674,True,164.0,False,18,18,False
2463,10.0,-4080.030029296875,3153.360107421875,426.3399963378906,261.9000053405762,8962.7001953125,15002.60009765625,2473.0999755859375,-317.39999771118164,-204.89999771118164,255.0,254.0,True,-1.1581368150539602,1.5629018900586014,1.5994017610079674,True,164.0,False,18,18,False
2464,10.0,-4080.030029296875,3153.360107421875,426.3399963378906,261.9000053405762,8962.7001953125,15002.60009765625,2473.0999755859375,-317.39999771118164,-204.89999771118164,255.0,254.0,True,-1.1581368150539602,1.5629018900586014,1.5994017610079674,True,164.0,False,18,18,False
2465,10.0,-4079.010009765625,3225.050048828125,577.489990234375,27.300000190734863,5341.5997314453125,15128.900146484375,2965.2999877929688,-58.400001525878906,-71.50000095367432,255.0,254.0,False,-1.435808742117286,1.6259010601736283,1.5203715213857683,True,164.0,False,18,18,False
2466,10.0,-4079.010009765625,3225.050048828125,577.489990234375,27.300000190734863,5341.5997314453125,15128.900146484375,2965.2999877929688,-58.400001525878906,-71.50000095367432,255.0,254.0,False,-1.435808742117286,1.6259010601736283,1.5203715213857683,True,164.0,False,18,18,False
2467,10.0,-4078.949951171875,3250.090087890625,689.030029296875,0.9000000357627869,1681.4999389648438,14541.700439453125,3013.599853515625,-10.0,-23.80000114440918,255.0,254.0,False,-1.4791576110079787,-1.6722173297923366,-1.4688407822104808,True,164.0,False,18,18,False
2468,10.0,-4078.949951171875,3250.090087890625,689.030029296875,0.9000000357627869,1681.4999389648438,14541.700439453125,3013.599853515625,-10.0,-23.80000114440918,255.0,254.0,False,-1.4791576110079787,-1.6722173297923366,-1.4688407822104808,True,164.0,False,18,18,False
2469,10.0,-4078.949951171875,3245.320068359375,803.9000244140625,-1.4000000059604645,-2340.800018310547,13062.5,2840.2999877929688,0.9000000357627869,-4.799999892711639,255.0,254.0,False,-1.2349242773781128,-1.599951937323819,-1.543250205135448,True,164.0,False,18,18,False
2470,10.0,-4078.949951171875,3245.320068359375,803.9000244140625,-1.4000000059604645,-2340.800018310547,13062.5,2840.2999877929688,0.9000000357627869,-4.799999892711639,255.0,254.0,False,-1.2349242773781128,-1.599951937323819,-1.543250205135448,True,164.0,False,18,18,False
2471,10.0,-4078.949951171875,3210.429931640625,903.8900146484375,-1.8000000715255737,-5532.39990234375,11099.000244140625,2534.1000366210938,0.19999999552965164,0.29999999329447746,255.0,254.0,False,-1.0125717422864051,-1.5888813860629276,-1.555568367089882,True,164.0,False,18,18,False
2472,10.0,-4078.949951171875,3210.429931640625,903.8900146484375,-1.8000000715255737,-5532.39990234375,11099.000244140625,2534.1000366210938,0.19999999552965164,0.29999999329447746,255.0,254.0,False,-1.0125717422864051,-1.5888813860629276,-1.555568367089882,True,164.0,False,18,18,False
2473,10.0,-4078.949951171875,3210.429931640625,903.8900146484375,-1.8000000715255737,-5532.39990234375,11099.000244140625,2534.1000366210938,0.19999999552965164,0.29999999329447746,255.0,254.0,False,-1.0125717422864051,-1.5888813860629276,-1.555568367089882,True,164.0,False,18,18,False
2474,10.0,-4078.949951171875,3154.300048828125,987.4400024414062,-1.8000000715255737,-7549.5001220703125,9178.400268554688,2627.39990234375,-1.0000000149011612,1.1999999731779099,255.0,254.0,True,-0.8015481744641403,-1.584549432640546,-1.5609363134531111,True,164.0,False,18,18,False
2475,10.0,-4078.949951171875,3154.300048828125,987.4400024414062,-1.8000000715255737,-7549.5001220703125,9178.400268554688,2627.39990234375,-1.0000000149011612,1.1999999731779099,255.0,254.0,True,-0.8015481744641403,-1.584549432640546,-1.5609363134531111,True,164.0,False,18,18,False
2476,10.0,-4078.949951171875,3085.52001953125,1055.5799560546875,-1.8000000715255737,-8779.600219726562,7317.1002197265625,2948.3999633789062,-0.09999999776482582,0.19999999552965164,255.0,254.0,False,-0.5670581048764561,-1.5821280956247485,-1.5646339501649578,True,164.0,False,18,18,False
2477,10.0,-4078.949951171875,3085.52001953125,1055.5799560546875,-1.8000000715255737,-8779.600219726562,7317.1002197265625,2948.3999633789062,-0.09999999776482582,0.19999999552965164,255.0,254.0,False,-0.5670581048764561,-1.5821280956247485,-1.5646339501649578,True,164.0,False,18,18,False
2478,10.0,-4078.949951171875,3007.179931640625,1105.4100341796875,-1.8000000715255737,-9870.0,4782.60009765625,3034.5001220703125,0.7999999821186066,-0.19999999552965164,255.0,254.0,False,-0.31563397498210427,-1.5808643324618308,-1.5676184410604252,True,164.0,False,18,18,False
2479,10.0,-4078.949951171875,3007.179931640625,1105.4100341796875,-1.8000000715255737,-9870.0,4782.60009765625,3034.5001220703125,0.7999999821186066,-0.19999999552965164,255.0,254.0,False,-0.31563397498210427,-1.5808643324618308,-1.5676184410604252,True,164.0,False,18,18,False
2480,10.0,-4078.949951171875,2930.260009765625,1130.22998046875,-1.8000000715255737,-10503.499755859375,2112.7000427246094,2911.099853515625,0.7999999821186066,0.0,255.0,254.0,False,-0.09219514294038574,-1.5803962866681034,-1.5699210054603454,True,164.0,False,18,18,False
2481,10.0,-4078.949951171875,2903.800048828125,1134.010009765625,-1.8000000715255737,-10618.00048828125,1212.6000213623047,2838.900146484375,0.5999999865889549,0.0,255.0,254.0,False,-0.020620228136587596,-1.5803597383615025,-1.5706209440044192,True,164.0,False,18,18,False
2482,10.0,-4078.949951171875,2903.800048828125,1134.010009765625,-1.8000000715255737,-10618.00048828125,1212.6000213623047,2838.900146484375,0.5999999865889549,0.0,255.0,254.0,False,-0.020620228136587596,-1.5803597383615025,-1.5706209440044192,True,164.0,False,18,18,False
